,0
201,"tensor(136.5358, dtype=torch.float64)"
202,"tensor(28.5995, dtype=torch.float64)"
203,"tensor(72.3407, dtype=torch.float64)"
204,"tensor(90.7757, dtype=torch.float64)"
205,"tensor(72.1641, dtype=torch.float64)"
206,"tensor(255.5481, dtype=torch.float64)"
207,"tensor(243.3315, dtype=torch.float64)"
208,"tensor(93.6708, dtype=torch.float64)"
209,"tensor(112.3102, dtype=torch.float64)"
210,"tensor(258.8991, dtype=torch.float64)"
211,"tensor(163.3044, dtype=torch.float64)"
212,"tensor(5., dtype=torch.float64)"
213,"tensor(212.4919, dtype=torch.float64)"
214,"tensor(57.3375, dtype=torch.float64)"
215,"tensor(93.3353, dtype=torch.float64)"
216,"tensor(91.5730, dtype=torch.float64)"
217,"tensor(60.4092, dtype=torch.float64)"
218,"tensor(25.2338, dtype=torch.float64)"
219,"tensor(137.0889, dtype=torch.float64)"
220,"tensor(105.9348, dtype=torch.float64)"
221,"tensor(95.5537, dtype=torch.float64)"
222,"tensor(61.4119, dtype=torch.float64)"
223,"tensor(233.5938, dtype=torch.float64)"
224,"tensor(65.7285, dtype=torch.float64)"
225,"tensor(141.9723, dtype=torch.float64)"
226,"tensor(7.9347, dtype=torch.float64)"
227,"tensor(147.9899, dtype=torch.float64)"
228,"tensor(156.2527, dtype=torch.float64)"
229,"tensor(77.0356, dtype=torch.float64)"
230,"tensor(163.5884, dtype=torch.float64)"
231,"tensor(97.8870, dtype=torch.float64)"
232,"tensor(29.3227, dtype=torch.float64)"
233,"tensor(113.7034, dtype=torch.float64)"
234,"tensor(68.0921, dtype=torch.float64)"
235,"tensor(91.3119, dtype=torch.float64)"
236,"tensor(135.8906, dtype=torch.float64)"
237,"tensor(100.8750, dtype=torch.float64)"
238,"tensor(240.7221, dtype=torch.float64)"
239,"tensor(96.7338, dtype=torch.float64)"
240,"tensor(35.1564, dtype=torch.float64)"
241,"tensor(193.3266, dtype=torch.float64)"
242,"tensor(200.1376, dtype=torch.float64)"
243,"tensor(179.9654, dtype=torch.float64)"
244,"tensor(97.5622, dtype=torch.float64)"
245,"tensor(508.5488, dtype=torch.float64)"
246,"tensor(128.9292, dtype=torch.float64)"
247,"tensor(346.9472, dtype=torch.float64)"
248,"tensor(61.6738, dtype=torch.float64)"
249,"tensor(32.3476, dtype=torch.float64)"
250,"tensor(57.8381, dtype=torch.float64)"
251,"tensor(545.8149, dtype=torch.float64)"
252,"tensor(90.0745, dtype=torch.float64)"
253,"tensor(49.7231, dtype=torch.float64)"
254,"tensor(114.9739, dtype=torch.float64)"
255,"tensor(178.7598, dtype=torch.float64)"
256,"tensor(28.0763, dtype=torch.float64)"
257,"tensor(71.2007, dtype=torch.float64)"
258,"tensor(332.1931, dtype=torch.float64)"
259,"tensor(244.5045, dtype=torch.float64)"
260,"tensor(46.9990, dtype=torch.float64)"
261,"tensor(90.7821, dtype=torch.float64)"
262,"tensor(723.0969, dtype=torch.float64)"
263,"tensor(476.8934, dtype=torch.float64)"
264,"tensor(61.7365, dtype=torch.float64)"
265,"tensor(76.5324, dtype=torch.float64)"
266,"tensor(123.0110, dtype=torch.float64)"
267,"tensor(88.4309, dtype=torch.float64)"
268,"tensor(104.3032, dtype=torch.float64)"
269,"tensor(182.9743, dtype=torch.float64)"
270,"tensor(161.5567, dtype=torch.float64)"
271,"tensor(545.8171, dtype=torch.float64)"
272,"tensor(110.8410, dtype=torch.float64)"
273,"tensor(60.7055, dtype=torch.float64)"
274,"tensor(148.4966, dtype=torch.float64)"
275,"tensor(194.9859, dtype=torch.float64)"
276,"tensor(10.6366, dtype=torch.float64)"
277,"tensor(39.9098, dtype=torch.float64)"
278,"tensor(85.4466, dtype=torch.float64)"
279,"tensor(34.7508, dtype=torch.float64)"
280,"tensor(76.8190, dtype=torch.float64)"
281,"tensor(81.5730, dtype=torch.float64)"
282,"tensor(74.1633, dtype=torch.float64)"
283,"tensor(97.7427, dtype=torch.float64)"
284,"tensor(129.2268, dtype=torch.float64)"
285,"tensor(106.9211, dtype=torch.float64)"
286,"tensor(6.2014, dtype=torch.float64)"
287,"tensor(30.9163, dtype=torch.float64)"
288,"tensor(117.5205, dtype=torch.float64)"
289,"tensor(91.7316, dtype=torch.float64)"
290,"tensor(114.6542, dtype=torch.float64)"
291,"tensor(142.3155, dtype=torch.float64)"
292,"tensor(172.2837, dtype=torch.float64)"
293,"tensor(58.0961, dtype=torch.float64)"
